length,num_dots,num_digits,num_special,domain_length,has_subdomain,path_length,num_directories,url,is_blocked
23,2,0,3,15,True,0,0,https://www.harvard.edu,0
34,2,0,4,17,True,9,1,https://isnfc.harvard.edu/irluxoco,0
34,2,0,4,17,True,9,1,https://jcein.harvard.edu/smnwouki,0
34,2,0,4,17,True,9,1,https://gecey.harvard.edu/qvzelsjn,0
34,2,0,4,17,True,9,1,https://wteay.harvard.edu/mswsoicr,0
34,2,0,4,17,True,9,1,https://bquyq.harvard.edu/nzfzgrjp,0
34,2,0,4,17,True,9,1,https://itfpz.harvard.edu/wftiyxon,0
34,2,0,4,17,True,9,1,https://bricd.harvard.edu/uxxufbdg,0
34,2,0,4,17,True,9,1,https://sjosc.harvard.edu/tvtydpel,0
34,2,0,4,17,True,9,1,https://orsnf.harvard.edu/hanhpwza,0
34,2,0,4,17,True,9,1,https://fmiqa.harvard.edu/utcuujch,0
34,2,0,4,17,True,9,1,https://bjecu.harvard.edu/wkzvmdii,0
34,2,0,4,17,True,9,1,https://shzcu.harvard.edu/xdgkstde,0
34,2,0,4,17,True,9,1,https://rmdgz.harvard.edu/dxrtpcnl,0
34,2,0,4,17,True,9,1,https://gkyvf.harvard.edu/wvvatmxt,0
34,2,0,4,17,True,9,1,https://yxkfn.harvard.edu/lvbapqrd,0
34,2,0,4,17,True,9,1,https://clonm.harvard.edu/fvqrmmlv,0
34,2,0,4,17,True,9,1,https://xfphw.harvard.edu/kuaravcn,0
34,2,0,4,17,True,9,1,https://whrua.harvard.edu/dkfhshxx,0
34,2,0,4,17,True,9,1,https://vlkei.harvard.edu/vluttugk,0
34,2,0,4,17,True,9,1,https://wyulh.harvard.edu/czufcojl,0
34,2,0,4,17,True,9,1,https://ftikl.harvard.edu/qlccicom,0
34,2,0,4,17,True,9,1,https://ojknx.harvard.edu/qpkancsf,0
34,2,0,4,17,True,9,1,https://suyfw.harvard.edu/fpdagpck,0
34,2,0,4,17,True,9,1,https://hxlib.harvard.edu/aiqxspeb,0
34,2,0,4,17,True,9,1,https://lzguj.harvard.edu/bptaxgtp,0
34,2,0,4,17,True,9,1,https://gqasi.harvard.edu/nxkowwfd,0
34,2,0,4,17,True,9,1,https://suhzl.harvard.edu/aivppdya,0
34,2,0,4,17,True,9,1,https://zxzja.harvard.edu/rzciyqhk,0
34,2,0,4,17,True,9,1,https://jjiom.harvard.edu/hpdyrcei,0
34,2,0,4,17,True,9,1,https://knlfw.harvard.edu/rrfbijcf,0
34,2,0,4,17,True,9,1,https://kvxqq.harvard.edu/eignssex,0
34,2,0,4,17,True,9,1,https://hgvng.harvard.edu/bxnrpexo,0
34,2,0,4,17,True,9,1,https://jnzga.harvard.edu/ukhrwoqm,0
34,2,0,4,17,True,9,1,https://eiqhd.harvard.edu/bbsrdesj,0
34,2,0,4,17,True,9,1,https://ccfys.harvard.edu/kppwazxv,0
34,2,0,4,17,True,9,1,https://xlhya.harvard.edu/rbcwmjsj,0
34,2,0,4,17,True,9,1,https://tsxjg.harvard.edu/ojpcgamj,0
34,2,0,4,17,True,9,1,https://bmptx.harvard.edu/thqsirga,0
34,2,0,4,17,True,9,1,https://vssec.harvard.edu/zdqsnrga,0
34,2,0,4,17,True,9,1,https://ooygi.harvard.edu/lreuaton,0
34,2,0,4,17,True,9,1,https://goixl.harvard.edu/rlmjhfsp,0
34,2,0,4,17,True,9,1,https://kqenz.harvard.edu/vpudmyzr,0
34,2,0,4,17,True,9,1,https://gourr.harvard.edu/bjtyesdb,0
34,2,0,4,17,True,9,1,https://vnxgs.harvard.edu/ivrzmnfe,0
34,2,0,4,17,True,9,1,https://oiwwx.harvard.edu/rqkftvud,0
34,2,0,4,17,True,9,1,https://pcpbv.harvard.edu/cuvwnfun,0
34,2,0,4,17,True,9,1,https://svofx.harvard.edu/hojoqagt,0
34,2,0,4,17,True,9,1,https://vqbfy.harvard.edu/nqnammzb,0
34,2,0,4,17,True,9,1,https://oiqgm.harvard.edu/dufkitbt,0
34,2,0,4,17,True,9,1,https://eqkmp.harvard.edu/lcdphxty,0
19,2,0,3,11,True,0,0,https://www.mit.edu,0
30,2,0,4,13,True,9,1,https://bgemy.mit.edu/bmjzonin,0
30,2,0,4,13,True,9,1,https://kaydr.mit.edu/mrixcukq,0
30,2,0,4,13,True,9,1,https://ysown.mit.edu/eklcvnnu,0
30,2,0,4,13,True,9,1,https://conqu.mit.edu/witozjdq,0
30,2,0,4,13,True,9,1,https://pknhr.mit.edu/fqloqqub,0
30,2,0,4,13,True,9,1,https://scagq.mit.edu/wtcainkb,0
30,2,0,4,13,True,9,1,https://ksdqh.mit.edu/vdizqcut,0
30,2,0,4,13,True,9,1,https://rctyf.mit.edu/sxaexpfh,0
30,2,0,4,13,True,9,1,https://sjaay.mit.edu/majaeymd,0
30,2,0,4,13,True,9,1,https://wsevq.mit.edu/orbnsyto,0
30,2,0,4,13,True,9,1,https://iqgxm.mit.edu/cvzodxhe,0
30,2,0,4,13,True,9,1,https://mfodb.mit.edu/wlshcfyo,0
30,2,0,4,13,True,9,1,https://eihlv.mit.edu/yeqzcmmp,0
30,2,0,4,13,True,9,1,https://jsjwc.mit.edu/yjrjgdhz,0
30,2,0,4,13,True,9,1,https://szhdd.mit.edu/ahjmbzew,0
30,2,0,4,13,True,9,1,https://jubxq.mit.edu/fjmvgtve,0
30,2,0,4,13,True,9,1,https://pcqqj.mit.edu/prmbetzu,0
30,2,0,4,13,True,9,1,https://jlxzr.mit.edu/blsgaxpn,0
30,2,0,4,13,True,9,1,https://vzpnb.mit.edu/euemqfcu,0
30,2,0,4,13,True,9,1,https://jpwhq.mit.edu/ukhkxkep,0
30,2,0,4,13,True,9,1,https://zefwq.mit.edu/mjqmkypf,0
30,2,0,4,13,True,9,1,https://qwcce.mit.edu/drosrdxk,0
30,2,0,4,13,True,9,1,https://byapm.mit.edu/uplgscgf,0
30,2,0,4,13,True,9,1,https://ivxqu.mit.edu/bvxqbzfi,0
30,2,0,4,13,True,9,1,https://gnlpk.mit.edu/dthbovsz,0
30,2,0,4,13,True,9,1,https://sfkyz.mit.edu/jdmijohv,0
30,2,0,4,13,True,9,1,https://xfuet.mit.edu/ohkaztzo,0
30,2,0,4,13,True,9,1,https://oaxem.mit.edu/ufuoosxm,0
30,2,0,4,13,True,9,1,https://uytlo.mit.edu/pmujvzqa,0
30,2,0,4,13,True,9,1,https://eipty.mit.edu/rlvfnuga,0
30,2,0,4,13,True,9,1,https://dcsml.mit.edu/rvuctqvj,0
30,2,0,4,13,True,9,1,https://vompj.mit.edu/btpoqvjn,0
30,2,0,4,13,True,9,1,https://qkxqe.mit.edu/uvugqhhw,0
30,2,0,4,13,True,9,1,https://qcifa.mit.edu/vovbftzx,0
30,2,0,4,13,True,9,1,https://mowta.mit.edu/wrvpefim,0
30,2,0,4,13,True,9,1,https://oqkcw.mit.edu/fkgqlgrw,0
30,2,0,4,13,True,9,1,https://gbzqe.mit.edu/daubmjnw,0
30,2,0,4,13,True,9,1,https://kuptk.mit.edu/brtqtlcg,0
30,2,0,4,13,True,9,1,https://gbumf.mit.edu/tlxvgxlz,0
30,2,0,4,13,True,9,1,https://xlqpl.mit.edu/iquncrkw,0
30,2,0,4,13,True,9,1,https://ccfhh.mit.edu/plkpfkvv,0
